hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
OnThisDay	1080844782	625.00000	.10000	.00016	1	10	1	5890
NOTbuyingITsinema	1080844782	625.00000	.10000	.00016	1	10	1	5890
GOJOE	1094713876132872192	2020.18181	.66666	.00033	2	3	2	5890
pathetic	1094713876132872192	2083.31250	.33333	.00016	1	3	1	5890
BodyLanguage	1094713876132872192	2083.31250	.33333	.00016	1	3	1	5890
COVID19	1094971056358637568	4.47242	.33333	.07453	9	27	439	5890
NYTimes	1094971056358637568	183.34653	.18518	.00101	5	27	6	5890
ZeroCovid	1094971056358637568	48.57049	.14814	.00305	4	27	18	5890
Omicron	1094971056358637568	6.82074	.11111	.01629	3	27	96	5890
UkraineRussianWar	1094971056358637568	33.66818	.07407	.00220	2	27	13	5890
pandemic	1094971056358637568	39.82258	.07407	.00186	2	27	11	5890
MeToo	1094971056358637568	88.17857	.07407	.00084	2	27	5	5890
herdimmunity	1094971056358637568	224.45454	.07407	.00033	2	27	2	5890
Covid_19	1094971056358637568	33.66818	.07407	.00220	2	27	13	5890
ZeroCOVID	1094971056358637568	112.21212	.03703	.00033	1	27	2	5890
WarCriminal	1094971056358637568	74.06000	.03703	.00050	1	27	3	5890
Uyghurs	1094971056358637568	44.08333	.03703	.00084	1	27	5	5890
UnsafeSchools	1094971056358637568	112.21212	.03703	.00033	1	27	2	5890
UkraineWar	1094971056358637568	19.90860	.03703	.00186	1	27	11	5890
Ukraine	1094971056358637568	.71514	.03703	.05178	1	27	305	5890
SARS_CoV_2	1094971056358637568	231.43750	.03703	.00016	1	27	1	5890
Putin	1094971056358637568	1.77346	.03703	.02088	1	27	123	5890
Pandemic	1094971056358637568	74.06000	.03703	.00050	1	27	3	5890
NoWarWithRussia	1094971056358637568	18.24137	.03703	.00203	1	27	12	5890
NoWar	1094971056358637568	16.83181	.03703	.00220	1	27	13	5890
NoFlyZoneOverUkraine	1094971056358637568	36.66336	.03703	.00101	1	27	6	5890
NATO	1094971056358637568	10.40168	.03703	.00356	1	27	21	5890
Mariupol	1094971056358637568	3.63752	.03703	.01018	1	27	60	5890
LongCovid	1094971056358637568	.89769	.03703	.04125	1	27	243	5890
imperialism	1094971056358637568	112.21212	.03703	.00033	1	27	2	5890
Covid19	1094971056358637568	10.40168	.03703	.00356	1	27	21	5890
BA2	1094971056358637568	4.04257	.03703	.00916	1	27	54	5890
fluke_natouch	1095523459877068800	454.54545	1.00000	.00220	2	2	13	5890
UWMAseries	1095523459877068800	3125.00000	.50000	.00016	1	2	1	5890
onpoli	1096205507348623360	7.52361	.14814	.01969	4	27	116	5890
VoteFordOut2022	1096205507348623360	12.84508	.11111	.00865	3	27	51	5890
NeverVoteConservative	1096205507348623360	5.36504	.11111	.02071	3	27	122	5890
COVID19	1096205507348623360	1.49080	.11111	.07453	3	27	439	5890
WearAMask	1096205507348623360	9.09950	.07407	.00814	2	27	48	5890
VoteThemAllOut2022	1096205507348623360	9.49615	.07407	.00780	2	27	46	5890
VoteFordOut	1096205507348623360	4.45399	.07407	.01663	2	27	98	5890
Ford	1096205507348623360	17.46933	.07407	.00424	2	27	25	5890
CovidIsNotOver	1096205507348623360	5.66717	.07407	.01307	2	27	77	5890
travel	1096205507348623360	74.06000	.03703	.00050	1	27	3	5890
TorontoSun	1096205507348623360	231.43750	.03703	.00016	1	27	1	5890
TinfoilOfTheMonth	1096205507348623360	231.43750	.03703	.00016	1	27	1	5890
ResignFord	1096205507348623360	112.21212	.03703	.00033	1	27	2	5890
Ottawa	1096205507348623360	1.40744	.03703	.02631	1	27	155	5890
Ontario	1096205507348623360	3.51996	.03703	.01052	1	27	62	5890
ONMediaFailed	1096205507348623360	112.21212	.03703	.00033	1	27	2	5890
MaskUp	1096205507348623360	3.20883	.03703	.01154	1	27	68	5890
